Point	X	Y	Z
149	1464.466 m	50.807 m	-14749.337 m
150	1472.685 m	51.133 m	-14740.131 m
151	1480.892 m	51.459 m	-14730.925 m
152	1489.087 m	51.786 m	-14721.718 m
153	1497.27 m	52.112 m	-14712.511 m
154	1505.44 m	52.439 m	-14703.303 m
155	1513.678 m	52.768 m	-14694.005 m
156	1521.988 m	53.101 m	-14684.611 m
157	1530.284 m	53.434 m	-14675.216 m
158	1538.568 m	53.767 m	-14665.821 m
159	1546.838 m	54.1 m	-14656.425 m
160	1555.094 m	54.433 m	-14647.03 m
161	1563.336 m	54.766 m	-14637.634 m
162	1571.565 m	55.098 m	-14628.239 m
163	1579.78 m	55.431 m	-14618.843 m
164	1587.98 m	55.763 m	-14609.447 m
165	1596.167 m	56.095 m	-14600.051 m
166	1604.338 m	56.426 m	-14590.656 m
167	1612.496 m	56.758 m	-14581.26 m
168	1620.638 m	57.089 m	-14571.865 m
169	1628.766 m	57.42 m	-14562.47 m
170	1636.879 m	57.75 m	-14553.075 m
171	1644.977 m	58.08 m	-14543.681 m
172	1653.06 m	58.41 m	-14534.287 m
173	1661.127 m	58.74 m	-14524.894 m
174	1669.179 m	59.069 m	-14515.501 m
175	1677.215 m	59.397 m	-14506.108 m
176	1685.236 m	59.725 m	-14496.716 m
177	1693.241 m	60.053 m	-14487.325 m
178	1701.229 m	60.38 m	-14477.934 m
179	1709.202 m	60.707 m	-14468.544 m
180	1717.158 m	61.033 m	-14459.155 m
181	1725.098 m	61.358 m	-14449.766 m
182	1733.022 m	61.683 m	-14440.379 m
183	1740.929 m	62.008 m	-14430.992 m
184	1748.819 m	62.331 m	-14421.607 m
185	1756.772 m	62.658 m	-14412.126 m
186	1764.858 m	62.989 m	-14402.468 m
187	1772.925 m	63.32 m	-14392.811 m
188	1780.974 m	63.651 m	-14383.155 m
189	1789.004 m	63.98 m	-14373.5 m
190	1797.016 m	64.309 m	-14363.846 m
191	1805.009 m	64.637 m	-14354.194 m
192	1812.983 m	64.964 m	-14344.544 m
193	1820.938 m	65.29 m	-14334.895 m
194	1828.874 m	65.615 m	-14325.247 m
195	1836.79 m	65.939 m	-14315.601 m
196	1844.687 m	66.262 m	-14305.956 m
197	1852.564 m	66.585 m	-14296.313 m
198	1860.422 m	66.906 m	-14286.672 m
199	1868.259 m	67.226 m	-14277.033 m
200	1876.076 m	67.546 m	-14267.395 m
201	1883.874 m	67.864 m	-14257.76 m
202	1891.65 m	68.181 m	-14248.126 m
203	1899.407 m	68.497 m	-14238.494 m
204	1907.142 m	68.812 m	-14228.864 m
205	1914.857 m	69.125 m	-14219.236 m
206	1922.551 m	69.438 m	-14209.611 m
207	1930.223 m	69.749 m	-14199.987 m
208	1937.875 m	70.059 m	-14190.366 m
209	1945.505 m	70.368 m	-14180.747 m
210	1953.113 m	70.675 m	-14171.13 m
211	1960.7 m	70.981 m	-14161.516 m
212	1968.265 m	71.286 m	-14151.904 m
213	1975.808 m	71.589 m	-14142.295 m
214	1983.349 m	71.892 m	-14132.661 m
215	1991.136 m	72.204 m	-14122.687 m
216	1998.9 m	72.515 m	-14112.715 m
217	2006.638 m	72.824 m	-14102.746 m
218	2014.353 m	73.132 m	-14092.78 m
219	2022.042 m	73.438 m	-14082.817 m
220	2029.707 m	73.742 m	-14072.857 m
221	2037.347 m	74.044 m	-14062.9 m
222	2044.961 m	74.345 m	-14052.946 m
223	2052.551 m	74.644 m	-14042.996 m
