Point	X	Y	Z
140	1927.074 m	-1266.354 m	6719.744 m
141	1935.476 m	-1266.247 m	6728.942 m
142	1943.869 m	-1266.139 m	6738.142 m
143	1952.252 m	-1266.032 m	6747.342 m
144	1960.625 m	-1265.925 m	6756.544 m
145	1968.988 m	-1265.817 m	6765.747 m
146	1977.341 m	-1265.71 m	6774.951 m
147	1985.684 m	-1265.602 m	6784.157 m
148	1994.016 m	-1265.495 m	6793.363 m
149	2002.338 m	-1265.387 m	6802.57 m
150	2010.649 m	-1265.28 m	6811.777 m
151	2018.949 m	-1265.173 m	6820.986 m
152	2027.238 m	-1265.065 m	6830.195 m
153	2035.516 m	-1264.958 m	6839.405 m
154	2043.782 m	-1264.85 m	6848.616 m
155	2052.037 m	-1264.743 m	6857.827 m
156	2060.281 m	-1264.635 m	6867.039 m
157	2068.513 m	-1264.528 m	6876.251 m
158	2076.865 m	-1264.419 m	6885.611 m
159	2085.235 m	-1264.309 m	6895.005 m
160	2093.592 m	-1264.199 m	6904.4 m
161	2101.936 m	-1264.09 m	6913.794 m
162	2110.268 m	-1263.98 m	6923.189 m
163	2118.586 m	-1263.871 m	6932.584 m
164	2126.892 m	-1263.761 m	6941.979 m
165	2135.184 m	-1263.652 m	6951.374 m
166	2143.462 m	-1263.543 m	6960.769 m
167	2151.727 m	-1263.433 m	6970.163 m
168	2159.979 m	-1263.324 m	6979.557 m
169	2168.216 m	-1263.214 m	6988.951 m
170	2176.439 m	-1263.105 m	6998.345 m
171	2184.648 m	-1262.996 m	7007.738 m
172	2192.843 m	-1262.887 m	7017.13 m
173	2201.023 m	-1262.777 m	7026.522 m
174	2209.189 m	-1262.668 m	7035.914 m
175	2217.34 m	-1262.559 m	7045.304 m
176	2225.475 m	-1262.45 m	7054.694 m
177	2233.596 m	-1262.341 m	7064.083 m
178	2241.702 m	-1262.232 m	7073.471 m
179	2249.792 m	-1262.123 m	7082.858 m
180	2257.867 m	-1262.014 m	7092.244 m
181	2265.926 m	-1261.906 m	7101.629 m
182	2273.969 m	-1261.797 m	7111.013 m
183	2281.997 m	-1261.688 m	7120.396 m
184	2290.008 m	-1261.58 m	7129.777 m
185	2298.003 m	-1261.471 m	7139.157 m
186	2305.981 m	-1261.363 m	7148.535 m
187	2313.943 m	-1261.254 m	7157.912 m
188	2321.889 m	-1261.146 m	7167.288 m
189	2330.026 m	-1261.035 m	7176.909 m
190	2338.183 m	-1260.923 m	7186.572 m
191	2346.321 m	-1260.812 m	7196.233 m
192	2354.441 m	-1260.701 m	7205.893 m
193	2362.542 m	-1260.589 m	7215.55 m
194	2370.625 m	-1260.478 m	7225.206 m
195	2378.689 m	-1260.367 m	7234.859 m
196	2386.734 m	-1260.256 m	7244.51 m
197	2394.76 m	-1260.145 m	7254.159 m
198	2402.766 m	-1260.035 m	7263.805 m
199	2410.753 m	-1259.924 m	7273.449 m
200	2418.72 m	-1259.813 m	7283.091 m
201	2426.668 m	-1259.703 m	7292.73 m
202	2434.595 m	-1259.593 m	7302.366 m
203	2442.502 m	-1259.483 m	7312 m
204	2450.389 m	-1259.373 m	7321.631 m
205	2458.256 m	-1259.263 m	7331.259 m
206	2466.102 m	-1259.153 m	7340.884 m
207	2473.927 m	-1259.043 m	7350.506 m
208	2481.731 m	-1258.934 m	7360.125 m
209	2489.515 m	-1258.824 m	7369.741 m
210	2497.276 m	-1258.715 m	7379.354 m
211	2505.017 m	-1258.606 m	7388.964 m
212	2512.736 m	-1258.497 m	7398.57 m
213	2520.433 m	-1258.388 m	7408.173 m
214	2528.108 m	-1258.279 m	7417.773 m
215	2535.762 m	-1258.17 m	7427.369 m
216	2543.393 m	-1258.062 m	7436.961 m
217	2551.001 m	-1257.954 m	7446.55 m
218	2558.588 m	-1257.846 m	7456.135 m
219	2566.416 m	-1257.734 m	7466.052 m
220	2574.279 m	-1257.621 m	7476.04 m
221	2582.117 m	-1257.509 m	7486.024 m
222	2589.93 m	-1257.397 m	7496.004 m
223	2597.717 m	-1257.285 m	7505.979 m
224	2605.479 m	-1257.174 m	7515.95 m
225	2613.215 m	-1257.062 m	7525.916 m
226	2620.925 m	-1256.951 m	7535.877 m
227	2628.609 m	-1256.84 m	7545.834 m
228	2636.267 m	-1256.729 m	7555.785 m
229	2643.898 m	-1256.618 m	7565.732 m
230	2651.502 m	-1256.507 m	7575.674 m
231	2659.08 m	-1256.397 m	7585.611 m
232	2666.63 m	-1256.287 m	7595.542 m
233	2674.154 m	-1256.177 m	7605.468 m
234	2681.649 m	-1256.067 m	7615.389 m
235	2689.118 m	-1255.958 m	7625.305 m
236	2696.558 m	-1255.849 m	7635.215 m
237	2703.971 m	-1255.739 m	7645.119 m
238	2711.355 m	-1255.631 m	7655.018 m
239	2718.711 m	-1255.522 m	7664.911 m
240	2726.039 m	-1255.414 m	7674.798 m
241	2733.338 m	-1255.306 m	7684.68 m
242	2740.608 m	-1255.198 m	7694.555 m
243	2747.849 m	-1255.09 m	7704.424 m
244	2755.06 m	-1254.983 m	7714.287 m
245	2762.243 m	-1254.875 m	7724.144 m
246	2769.396 m	-1254.769 m	7733.995 m
247	2776.527 m	-1254.662 m	7743.851 m
248	2784.013 m	-1254.549 m	7754.235 m
249	2791.465 m	-1254.437 m	7764.611 m
250	2798.883 m	-1254.326 m	7774.98 m
251	2806.268 m	-1254.214 m	7785.342 m
252	2813.618 m	-1254.103 m	7795.696 m
253	2820.934 m	-1253.992 m	7806.043 m
